"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2023-06-30 21:31:45,0.600%,0.600%,0%,0.600%,0%,98.2%
2023-06-30 21:32:00,0.202%,0.202%,0%,0.806%,0.202%,98.6%
2023-06-30 21:32:15,10.5%,3.57%,0%,12.1%,3.12%,70.8%
2023-06-30 21:32:30,11.0%,3.82%,0%,11.0%,1.12%,73.0%
2023-06-30 21:32:45,9.67%,3.30%,0%,10.8%,2.86%,73.4%
2023-06-30 21:33:00,8.97%,2.47%,0%,11.0%,2.91%,74.7%
2023-06-30 21:33:15,11.0%,2.91%,0%,10.5%,0.895%,74.7%
2023-06-30 21:33:30,8.73%,2.62%,0%,9.61%,1.53%,77.5%
2023-06-30 21:33:45,11.2%,3.52%,0%,12.1%,4.84%,68.4%
2023-06-30 21:34:00,8.58%,2.71%,0%,10.6%,0.451%,77.7%
2023-06-30 21:34:15,9.76%,3.10%,0%,11.8%,3.77%,71.6%
2023-06-30 21:34:30,9.41%,2.84%,0%,11.2%,4.16%,72.4%
2023-06-30 21:34:45,9.37%,2.68%,0%,10.3%,1.34%,76.3%
2023-06-30 21:35:00,9.58%,2.90%,0%,10.9%,1.34%,75.3%
2023-06-30 21:35:15,9.69%,3.52%,0%,10.6%,1.10%,75.1%
2023-06-30 21:35:30,10.3%,2.64%,0%,10.8%,3.74%,72.5%
2023-06-30 21:35:45,9.23%,2.70%,0%,10.4%,0.225%,77.5%
2023-06-30 21:36:00,9.89%,2.64%,0%,11.0%,4.40%,72.1%
2023-06-30 21:36:15,7.91%,2.64%,0%,9.01%,0.659%,79.8%
2023-06-30 21:36:30,8.20%,2.44%,0%,9.53%,1.11%,78.7%
2023-06-30 21:36:45,10.7%,3.40%,0%,11.1%,0.454%,74.4%
2023-06-30 21:37:00,8.28%,2.83%,0%,10.0%,2.61%,76.3%
2023-06-30 21:37:15,10.0%,3.12%,0%,11.2%,2.90%,72.8%
2023-06-30 21:37:30,8.61%,3.09%,0%,9.71%,1.99%,76.6%
2023-06-30 21:37:45,10.1%,3.36%,0%,12.3%,2.91%,71.4%
2023-06-30 21:38:00,9.78%,3.04%,0%,10.7%,4.57%,72.0%
2023-06-30 21:38:15,8.22%,2.89%,0%,10.2%,1.56%,77.1%
2023-06-30 21:38:30,5.50%,2.11%,0%,6.55%,0.423%,85.4%
2023-06-30 21:38:45,0.202%,0.403%,0%,1.01%,0.202%,98.2%

