"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2023-06-30 22:14:30,0.402%,0.402%,0%,0.602%,0%,98.6%
2023-06-30 22:14:45,25.8%,6.84%,0%,28.4%,3.42%,35.5%
2023-06-30 22:15:00,23.0%,6.63%,0%,26.0%,4.85%,39.5%
2023-06-30 22:15:15,22.4%,6.77%,0%,26.3%,3.39%,41.1%
2023-06-30 22:15:30,22.7%,7.03%,0%,25.3%,0.781%,44.3%
2023-06-30 22:15:45,23.7%,7.56%,0%,26.2%,4.53%,38.0%
2023-06-30 22:16:00,24.5%,7.39%,0%,26.6%,0%,41.4%
2023-06-30 22:16:15,23.4%,7.79%,0%,27.3%,2.08%,39.5%
2023-06-30 22:16:30,24.4%,7.35%,0%,26.2%,1.05%,40.9%
2023-06-30 22:16:45,23.5%,6.75%,0%,26.3%,6.50%,37.0%
2023-06-30 22:17:00,23.2%,7.73%,0%,26.9%,1.87%,40.3%
2023-06-30 22:17:15,20.5%,6.19%,0%,24.3%,6.19%,42.8%
2023-06-30 22:17:30,0.805%,0.604%,0%,1.21%,0%,97.4%

