client,reqID,url,elapsedTime,averageReqTime
client-1.rsx218-dox.cnam.fr,1,host28.domain48.rsx218-dox.cnam.fr,72.621727ms,72.621000ms
client-1.rsx218-dox.cnam.fr,2,host54.domain112.rsx218-dox.cnam.fr,21.818687ms,47.219500ms
client-1.rsx218-dox.cnam.fr,3,host246.domain1.rsx218-dox.cnam.fr,20.910296ms,38.449667ms
client-1.rsx218-dox.cnam.fr,4,host152.domain60.rsx218-dox.cnam.fr,21.956566ms,34.326250ms
client-1.rsx218-dox.cnam.fr,5,host54.domain49.rsx218-dox.cnam.fr,21.020079ms,31.665000ms
client-1.rsx218-dox.cnam.fr,6,host142.domain248.rsx218-dox.cnam.fr,20.58343ms,29.818000ms
client-1.rsx218-dox.cnam.fr,7,host183.domain23.rsx218-dox.cnam.fr,17.767086ms,28.096429ms
client-1.rsx218-dox.cnam.fr,8,host178.domain226.rsx218-dox.cnam.fr,19.499687ms,27.021750ms
client-1.rsx218-dox.cnam.fr,9,host181.domain216.rsx218-dox.cnam.fr,24.216738ms,26.710000ms
client-1.rsx218-dox.cnam.fr,10,host97.domain31.rsx218-dox.cnam.fr,19.941872ms,26.033100ms
client-1.rsx218-dox.cnam.fr,11,host6.domain103.rsx218-dox.cnam.fr,20.033653ms,25.487636ms
client-1.rsx218-dox.cnam.fr,12,host197.domain64.rsx218-dox.cnam.fr,17.953903ms,24.859750ms
client-1.rsx218-dox.cnam.fr,13,host245.domain220.rsx218-dox.cnam.fr,19.495444ms,24.447077ms
client-1.rsx218-dox.cnam.fr,14,host184.domain75.rsx218-dox.cnam.fr,20.377875ms,24.156357ms
client-1.rsx218-dox.cnam.fr,15,host72.domain29.rsx218-dox.cnam.fr,22.21164ms,24.026667ms
client-1.rsx218-dox.cnam.fr,16,host154.domain59.rsx218-dox.cnam.fr,22.486845ms,23.930375ms
client-1.rsx218-dox.cnam.fr,17,host84.domain142.rsx218-dox.cnam.fr,26.020769ms,24.053294ms
client-1.rsx218-dox.cnam.fr,18,host213.domain111.rsx218-dox.cnam.fr,18.877631ms,23.765722ms
client-1.rsx218-dox.cnam.fr,19,host232.domain176.rsx218-dox.cnam.fr,19.252387ms,23.528158ms
client-1.rsx218-dox.cnam.fr,20,host154.domain232.rsx218-dox.cnam.fr,19.215762ms,23.312500ms
client-1.rsx218-dox.cnam.fr,21,host42.domain227.rsx218-dox.cnam.fr,27.647103ms,23.518905ms
client-1.rsx218-dox.cnam.fr,22,host8.domain58.rsx218-dox.cnam.fr,18.305212ms,23.281909ms
client-1.rsx218-dox.cnam.fr,23,host242.domain190.rsx218-dox.cnam.fr,19.922135ms,23.135826ms
client-1.rsx218-dox.cnam.fr,24,host235.domain196.rsx218-dox.cnam.fr,22.688856ms,23.117167ms
client-1.rsx218-dox.cnam.fr,25,host101.domain248.rsx218-dox.cnam.fr,16.577819ms,22.855560ms
client-1.rsx218-dox.cnam.fr,26,host191.domain219.rsx218-dox.cnam.fr,22.14667ms,22.828269ms
client-1.rsx218-dox.cnam.fr,27,host17.domain142.rsx218-dox.cnam.fr,21.303953ms,22.771778ms
client-1.rsx218-dox.cnam.fr,28,host163.domain84.rsx218-dox.cnam.fr,20.688908ms,22.697357ms
client-1.rsx218-dox.cnam.fr,29,host100.domain31.rsx218-dox.cnam.fr,20.678977ms,22.627724ms
client-1.rsx218-dox.cnam.fr,30,host103.domain182.rsx218-dox.cnam.fr,18.551025ms,22.491833ms
client-1.rsx218-dox.cnam.fr,31,host38.domain97.rsx218-dox.cnam.fr,19.088304ms,22.382032ms
client-1.rsx218-dox.cnam.fr,32,host148.domain158.rsx218-dox.cnam.fr,22.140584ms,22.374469ms
