"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2023-06-30 21:58:00,0.404%,0.606%,0%,0.808%,0%,98.2%
2023-06-30 21:58:15,6.86%,57.0%,0%,7.90%,1.25%,27.0%
2023-06-30 21:58:30,6.49%,58.4%,0%,9.00%,2.51%,23.6%
2023-06-30 21:58:45,6.14%,60.2%,0%,8.26%,0%,25.4%
2023-06-30 21:59:00,7.26%,58.1%,0%,8.71%,0.207%,25.7%
2023-06-30 21:59:15,6.77%,59.6%,0%,8.46%,0%,25.2%
2023-06-30 21:59:30,7.35%,58.4%,0%,9.87%,1.47%,22.9%
2023-06-30 21:59:45,5.76%,59.3%,0%,9.38%,0%,25.6%
2023-06-30 22:00:00,6.96%,55.1%,0%,9.49%,0%,28.5%
2023-06-30 22:00:15,7.14%,56.5%,0%,10.9%,1.05%,24.4%
2023-06-30 22:00:30,7.58%,56.2%,0%,10.3%,0.421%,25.5%
2023-06-30 22:00:45,6.98%,56.2%,0%,10.8%,0.423%,25.6%
2023-06-30 22:01:00,7.38%,56.3%,0%,11.0%,0.422%,24.9%
2023-06-30 22:01:15,9.24%,55.5%,0%,11.3%,0.420%,23.5%
2023-06-30 22:01:30,7.37%,49.7%,0%,12.2%,0.842%,29.9%
2023-06-30 22:01:45,17.8%,5.53%,0%,28.1%,0%,48.6%
2023-06-30 22:02:00,1.01%,0.406%,0%,1.22%,0.203%,97.2%

