"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2023-06-30 21:20:45,0.402%,0.803%,0%,0.602%,0%,98.2%
2023-06-30 21:21:00,7.66%,51.1%,0%,8.90%,0.828%,31.5%
2023-06-30 21:21:15,8.81%,50.4%,0%,9.02%,1.43%,30.3%
2023-06-30 21:21:30,7.48%,52.0%,0%,8.52%,0.416%,31.6%
2023-06-30 21:21:45,8.68%,51.9%,0%,8.68%,1.03%,29.8%
2023-06-30 21:22:00,9.24%,50.9%,0%,8.83%,2.26%,28.7%
2023-06-30 21:22:15,8.68%,50.2%,0%,8.88%,1.65%,30.6%
2023-06-30 21:22:30,8.85%,50.8%,0%,9.05%,2.06%,29.2%
2023-06-30 21:22:45,5.80%,37.7%,0%,6.21%,0.414%,49.9%
2023-06-30 21:23:00,0.402%,0.604%,0%,0.604%,0%,98.4%

