client,reqID,url,elapsedTime,averageReqTime
client-1.rsx218-dox.cnam.fr,1,host228.domain45.rsx218-dox.cnam.fr,80.695689ms,80.695000ms
client-1.rsx218-dox.cnam.fr,2,host225.domain189.rsx218-dox.cnam.fr,24.208945ms,52.451500ms
client-1.rsx218-dox.cnam.fr,3,host66.domain88.rsx218-dox.cnam.fr,21.404114ms,42.102333ms
client-1.rsx218-dox.cnam.fr,4,host40.domain60.rsx218-dox.cnam.fr,22.054978ms,37.090250ms
client-1.rsx218-dox.cnam.fr,5,host43.domain128.rsx218-dox.cnam.fr,20.896138ms,33.851400ms
client-1.rsx218-dox.cnam.fr,6,host205.domain153.rsx218-dox.cnam.fr,21.982511ms,31.873167ms
client-1.rsx218-dox.cnam.fr,7,host36.domain145.rsx218-dox.cnam.fr,24.217683ms,30.779429ms
client-1.rsx218-dox.cnam.fr,8,host102.domain217.rsx218-dox.cnam.fr,23.675748ms,29.891375ms
client-1.rsx218-dox.cnam.fr,9,host81.domain148.rsx218-dox.cnam.fr,19.846439ms,28.775222ms
client-1.rsx218-dox.cnam.fr,10,host49.domain37.rsx218-dox.cnam.fr,22.552609ms,28.152900ms
client-1.rsx218-dox.cnam.fr,11,host78.domain62.rsx218-dox.cnam.fr,21.167792ms,27.517818ms
client-1.rsx218-dox.cnam.fr,12,host184.domain217.rsx218-dox.cnam.fr,23.077783ms,27.147750ms
client-1.rsx218-dox.cnam.fr,13,host5.domain208.rsx218-dox.cnam.fr,20.418824ms,26.630077ms
client-1.rsx218-dox.cnam.fr,14,host133.domain121.rsx218-dox.cnam.fr,23.402666ms,26.399500ms
client-1.rsx218-dox.cnam.fr,15,host127.domain170.rsx218-dox.cnam.fr,30.269726ms,26.657467ms
client-1.rsx218-dox.cnam.fr,16,host31.domain43.rsx218-dox.cnam.fr,18.378596ms,26.140000ms
client-1.rsx218-dox.cnam.fr,17,host57.domain82.rsx218-dox.cnam.fr,19.615218ms,25.756176ms
client-1.rsx218-dox.cnam.fr,18,host181.domain223.rsx218-dox.cnam.fr,22.273428ms,25.562667ms
client-1.rsx218-dox.cnam.fr,19,host174.domain138.rsx218-dox.cnam.fr,18.404937ms,25.185895ms
client-1.rsx218-dox.cnam.fr,20,host151.domain39.rsx218-dox.cnam.fr,19.058117ms,24.879500ms
client-1.rsx218-dox.cnam.fr,21,host151.domain184.rsx218-dox.cnam.fr,20.634652ms,24.677333ms
client-1.rsx218-dox.cnam.fr,22,host138.domain134.rsx218-dox.cnam.fr,19.343688ms,24.434864ms
client-1.rsx218-dox.cnam.fr,23,host140.domain86.rsx218-dox.cnam.fr,19.826025ms,24.234478ms
