"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2023-06-30 22:05:15,0.402%,0.402%,0%,0.402%,0.201%,98.6%
2023-06-30 22:05:30,0.403%,0.403%,0%,0.403%,0.202%,98.6%
2023-06-30 22:05:45,8.21%,62.3%,0%,6.95%,0.211%,22.3%
2023-06-30 22:06:00,9.21%,60.5%,0%,7.53%,0.628%,22.2%
2023-06-30 22:06:15,8.88%,59.8%,0%,7.40%,0.211%,23.7%
2023-06-30 22:06:30,9.34%,60.8%,0%,7.88%,1.66%,20.3%
2023-06-30 22:06:45,7.66%,62.1%,0%,7.66%,1.06%,21.5%
2023-06-30 22:07:00,7.68%,60.8%,0%,7.68%,0.640%,23.2%
2023-06-30 22:07:15,8.19%,62.4%,0%,7.56%,0.630%,21.2%
2023-06-30 22:07:30,7.86%,60.7%,0%,7.43%,0.425%,23.6%
2023-06-30 22:07:45,8.67%,58.1%,0%,7.61%,0.846%,24.7%
2023-06-30 22:08:00,8.86%,60.1%,0%,7.59%,1.48%,21.9%
2023-06-30 22:08:15,8.23%,61.0%,0%,7.59%,0.633%,22.6%
2023-06-30 22:08:30,8.84%,62.3%,0%,7.79%,0.632%,20.4%
2023-06-30 22:08:45,8.09%,61.5%,0%,7.66%,0.638%,22.1%
2023-06-30 22:09:00,9.15%,60.4%,0%,7.66%,0.638%,22.1%
2023-06-30 22:09:15,0.404%,0.606%,0%,1.21%,0.202%,97.6%

