client,reqID,url,elapsedTime,averageReqTime
client-1.rsx218-dox.cnam.fr,1,host62.domain106.rsx218-dox.cnam.fr,59.541827ms,59.541000ms
client-1.rsx218-dox.cnam.fr,2,host203.domain95.rsx218-dox.cnam.fr,23.8507ms,41.695500ms
client-1.rsx218-dox.cnam.fr,3,host188.domain207.rsx218-dox.cnam.fr,20.761491ms,34.717333ms
client-1.rsx218-dox.cnam.fr,4,host250.domain70.rsx218-dox.cnam.fr,17.478455ms,30.407500ms
client-1.rsx218-dox.cnam.fr,5,host247.domain235.rsx218-dox.cnam.fr,18.303902ms,27.986600ms
client-1.rsx218-dox.cnam.fr,6,host22.domain164.rsx218-dox.cnam.fr,19.994978ms,26.654500ms
client-1.rsx218-dox.cnam.fr,7,host160.domain216.rsx218-dox.cnam.fr,20.301376ms,25.746857ms
client-1.rsx218-dox.cnam.fr,8,host209.domain72.rsx218-dox.cnam.fr,19.491975ms,24.964875ms
client-1.rsx218-dox.cnam.fr,9,host25.domain191.rsx218-dox.cnam.fr,19.21798ms,24.326222ms
client-1.rsx218-dox.cnam.fr,10,host177.domain190.rsx218-dox.cnam.fr,19.879973ms,23.881500ms
client-1.rsx218-dox.cnam.fr,11,host110.domain23.rsx218-dox.cnam.fr,20.778833ms,23.599364ms
client-1.rsx218-dox.cnam.fr,12,host231.domain149.rsx218-dox.cnam.fr,21.166545ms,23.396583ms
client-1.rsx218-dox.cnam.fr,13,host210.domain221.rsx218-dox.cnam.fr,20.142929ms,23.146231ms
client-1.rsx218-dox.cnam.fr,14,host95.domain11.rsx218-dox.cnam.fr,21.492752ms,23.028071ms
client-1.rsx218-dox.cnam.fr,15,host90.domain118.rsx218-dox.cnam.fr,19.859229ms,22.816800ms
client-1.rsx218-dox.cnam.fr,16,host15.domain135.rsx218-dox.cnam.fr,18.20814ms,22.528750ms
client-1.rsx218-dox.cnam.fr,17,host55.domain20.rsx218-dox.cnam.fr,20.260534ms,22.395294ms
client-1.rsx218-dox.cnam.fr,18,host247.domain101.rsx218-dox.cnam.fr,17.982959ms,22.150111ms
client-1.rsx218-dox.cnam.fr,19,host127.domain235.rsx218-dox.cnam.fr,17.786574ms,21.920421ms
client-1.rsx218-dox.cnam.fr,20,host46.domain112.rsx218-dox.cnam.fr,18.115302ms,21.730150ms
client-1.rsx218-dox.cnam.fr,21,host176.domain219.rsx218-dox.cnam.fr,18.965383ms,21.598476ms
client-1.rsx218-dox.cnam.fr,22,host90.domain213.rsx218-dox.cnam.fr,18.931826ms,21.477227ms
client-1.rsx218-dox.cnam.fr,23,host209.domain202.rsx218-dox.cnam.fr,23.79015ms,21.577783ms
client-1.rsx218-dox.cnam.fr,24,host49.domain243.rsx218-dox.cnam.fr,20.15912ms,21.518667ms
client-1.rsx218-dox.cnam.fr,25,host121.domain178.rsx218-dox.cnam.fr,17.600814ms,21.361920ms
client-1.rsx218-dox.cnam.fr,26,host93.domain128.rsx218-dox.cnam.fr,18.777993ms,21.262500ms
client-1.rsx218-dox.cnam.fr,27,host147.domain29.rsx218-dox.cnam.fr,18.932831ms,21.176185ms
client-1.rsx218-dox.cnam.fr,28,host214.domain6.rsx218-dox.cnam.fr,19.090875ms,21.101679ms
client-1.rsx218-dox.cnam.fr,29,host93.domain245.rsx218-dox.cnam.fr,19.42894ms,21.043966ms
client-1.rsx218-dox.cnam.fr,30,host213.domain62.rsx218-dox.cnam.fr,18.870482ms,20.971500ms
client-1.rsx218-dox.cnam.fr,31,host205.domain102.rsx218-dox.cnam.fr,20.83461ms,20.967065ms
client-1.rsx218-dox.cnam.fr,32,host106.domain136.rsx218-dox.cnam.fr,19.114131ms,20.909156ms
client-1.rsx218-dox.cnam.fr,33,host156.domain184.rsx218-dox.cnam.fr,20.011811ms,20.881939ms
client-1.rsx218-dox.cnam.fr,34,host250.domain195.rsx218-dox.cnam.fr,18.970081ms,20.825706ms
client-1.rsx218-dox.cnam.fr,35,host193.domain113.rsx218-dox.cnam.fr,20.856887ms,20.826571ms
client-1.rsx218-dox.cnam.fr,36,host127.domain202.rsx218-dox.cnam.fr,20.992627ms,20.831167ms
client-1.rsx218-dox.cnam.fr,37,host35.domain66.rsx218-dox.cnam.fr,27.903862ms,21.022297ms
client-1.rsx218-dox.cnam.fr,38,host116.domain155.rsx218-dox.cnam.fr,16.451632ms,20.902000ms
client-1.rsx218-dox.cnam.fr,39,host152.domain140.rsx218-dox.cnam.fr,19.356555ms,20.862359ms
client-1.rsx218-dox.cnam.fr,40,host31.domain52.rsx218-dox.cnam.fr,29.407481ms,21.075975ms
client-1.rsx218-dox.cnam.fr,41,host59.domain42.rsx218-dox.cnam.fr,20.430958ms,21.060220ms
client-1.rsx218-dox.cnam.fr,42,host217.domain250.rsx218-dox.cnam.fr,20.328821ms,21.042786ms
client-1.rsx218-dox.cnam.fr,43,host209.domain14.rsx218-dox.cnam.fr,18.968823ms,20.994535ms
client-1.rsx218-dox.cnam.fr,44,host154.domain137.rsx218-dox.cnam.fr,20.034592ms,20.972705ms
client-1.rsx218-dox.cnam.fr,45,host34.domain127.rsx218-dox.cnam.fr,18.858665ms,20.925711ms
client-1.rsx218-dox.cnam.fr,46,host93.domain157.rsx218-dox.cnam.fr,25.537186ms,21.025957ms
client-1.rsx218-dox.cnam.fr,47,host1.domain191.rsx218-dox.cnam.fr,22.809026ms,21.063894ms
client-1.rsx218-dox.cnam.fr,48,host135.domain12.rsx218-dox.cnam.fr,19.496019ms,21.031229ms
client-1.rsx218-dox.cnam.fr,49,host214.domain236.rsx218-dox.cnam.fr,19.061232ms,20.991020ms
client-1.rsx218-dox.cnam.fr,50,host55.domain223.rsx218-dox.cnam.fr,18.086142ms,20.932920ms
client-1.rsx218-dox.cnam.fr,51,host190.domain117.rsx218-dox.cnam.fr,30.029444ms,21.111275ms
client-1.rsx218-dox.cnam.fr,52,host114.domain97.rsx218-dox.cnam.fr,19.059349ms,21.071808ms
client-1.rsx218-dox.cnam.fr,53,host41.domain203.rsx218-dox.cnam.fr,20.589209ms,21.062698ms
client-1.rsx218-dox.cnam.fr,54,host146.domain85.rsx218-dox.cnam.fr,24.07814ms,21.118537ms
client-1.rsx218-dox.cnam.fr,55,host198.domain142.rsx218-dox.cnam.fr,18.718445ms,21.074891ms
client-1.rsx218-dox.cnam.fr,56,host77.domain141.rsx218-dox.cnam.fr,18.919563ms,21.036393ms
client-1.rsx218-dox.cnam.fr,57,host129.domain35.rsx218-dox.cnam.fr,20.10571ms,21.020053ms
client-1.rsx218-dox.cnam.fr,58,host14.domain178.rsx218-dox.cnam.fr,18.730368ms,20.980569ms
client-1.rsx218-dox.cnam.fr,59,host73.domain199.rsx218-dox.cnam.fr,18.788603ms,20.943407ms
client-1.rsx218-dox.cnam.fr,60,host123.domain52.rsx218-dox.cnam.fr,18.882665ms,20.909050ms
client-1.rsx218-dox.cnam.fr,61,host143.domain110.rsx218-dox.cnam.fr,18.928762ms,20.876574ms
client-1.rsx218-dox.cnam.fr,62,host245.domain163.rsx218-dox.cnam.fr,18.891028ms,20.844548ms
client-1.rsx218-dox.cnam.fr,63,host200.domain83.rsx218-dox.cnam.fr,18.772241ms,20.811651ms
client-1.rsx218-dox.cnam.fr,64,host107.domain202.rsx218-dox.cnam.fr,19.417754ms,20.789859ms
client-1.rsx218-dox.cnam.fr,65,host176.domain193.rsx218-dox.cnam.fr,18.883024ms,20.760523ms
client-1.rsx218-dox.cnam.fr,66,host31.domain218.rsx218-dox.cnam.fr,18.714121ms,20.729515ms
client-1.rsx218-dox.cnam.fr,67,host100.domain111.rsx218-dox.cnam.fr,18.72584ms,20.699597ms
client-1.rsx218-dox.cnam.fr,68,host143.domain140.rsx218-dox.cnam.fr,19.927417ms,20.688235ms
client-1.rsx218-dox.cnam.fr,69,host175.domain191.rsx218-dox.cnam.fr,18.853738ms,20.661638ms
client-1.rsx218-dox.cnam.fr,70,host28.domain142.rsx218-dox.cnam.fr,20.192983ms,20.654929ms
client-1.rsx218-dox.cnam.fr,71,host129.domain198.rsx218-dox.cnam.fr,19.281377ms,20.635577ms
client-1.rsx218-dox.cnam.fr,72,host213.domain207.rsx218-dox.cnam.fr,18.406849ms,20.604611ms
client-1.rsx218-dox.cnam.fr,73,host56.domain95.rsx218-dox.cnam.fr,20.685004ms,20.605712ms
client-1.rsx218-dox.cnam.fr,74,host1.domain98.rsx218-dox.cnam.fr,20.453868ms,20.603649ms
client-1.rsx218-dox.cnam.fr,75,host49.domain18.rsx218-dox.cnam.fr,21.037145ms,20.609427ms
client-1.rsx218-dox.cnam.fr,76,host12.domain238.rsx218-dox.cnam.fr,22.261475ms,20.631158ms
client-1.rsx218-dox.cnam.fr,77,host6.domain248.rsx218-dox.cnam.fr,23.47302ms,20.668065ms
client-1.rsx218-dox.cnam.fr,78,host19.domain184.rsx218-dox.cnam.fr,29.031888ms,20.775282ms
client-1.rsx218-dox.cnam.fr,79,host179.domain245.rsx218-dox.cnam.fr,21.224363ms,20.780962ms
client-1.rsx218-dox.cnam.fr,80,host32.domain235.rsx218-dox.cnam.fr,27.239884ms,20.861687ms
client-1.rsx218-dox.cnam.fr,81,host41.domain13.rsx218-dox.cnam.fr,21.377069ms,20.868049ms
client-1.rsx218-dox.cnam.fr,82,host104.domain241.rsx218-dox.cnam.fr,19.972374ms,20.857122ms
client-1.rsx218-dox.cnam.fr,83,host123.domain65.rsx218-dox.cnam.fr,24.409896ms,20.899916ms
client-1.rsx218-dox.cnam.fr,84,host121.domain196.rsx218-dox.cnam.fr,20.857094ms,20.899405ms
client-1.rsx218-dox.cnam.fr,85,host250.domain227.rsx218-dox.cnam.fr,20.054264ms,20.889459ms
client-1.rsx218-dox.cnam.fr,86,host216.domain197.rsx218-dox.cnam.fr,19.695847ms,20.875570ms
client-1.rsx218-dox.cnam.fr,87,host19.domain23.rsx218-dox.cnam.fr,20.418823ms,20.870310ms
client-1.rsx218-dox.cnam.fr,88,host150.domain46.rsx218-dox.cnam.fr,21.118069ms,20.873125ms
client-1.rsx218-dox.cnam.fr,89,host76.domain33.rsx218-dox.cnam.fr,19.608884ms,20.858910ms
client-1.rsx218-dox.cnam.fr,90,host146.domain9.rsx218-dox.cnam.fr,19.823094ms,20.847400ms
client-1.rsx218-dox.cnam.fr,91,host195.domain146.rsx218-dox.cnam.fr,22.042771ms,20.860527ms
client-1.rsx218-dox.cnam.fr,92,host177.domain173.rsx218-dox.cnam.fr,19.216946ms,20.842652ms
client-1.rsx218-dox.cnam.fr,93,host110.domain160.rsx218-dox.cnam.fr,19.36615ms,20.826774ms
client-1.rsx218-dox.cnam.fr,94,host229.domain224.rsx218-dox.cnam.fr,26.293376ms,20.884926ms
client-1.rsx218-dox.cnam.fr,95,host233.domain247.rsx218-dox.cnam.fr,26.780034ms,20.946979ms
client-1.rsx218-dox.cnam.fr,96,host28.domain48.rsx218-dox.cnam.fr,20.406181ms,20.941344ms
client-1.rsx218-dox.cnam.fr,97,host243.domain138.rsx218-dox.cnam.fr,59.269526ms,21.336474ms
client-1.rsx218-dox.cnam.fr,98,host232.domain57.rsx218-dox.cnam.fr,20.89727ms,21.331990ms
client-1.rsx218-dox.cnam.fr,99,host137.domain219.rsx218-dox.cnam.fr,20.638613ms,21.324980ms
client-1.rsx218-dox.cnam.fr,100,host69.domain119.rsx218-dox.cnam.fr,17.568092ms,21.287410ms
client-1.rsx218-dox.cnam.fr,101,host18.domain138.rsx218-dox.cnam.fr,25.074236ms,21.324901ms
client-1.rsx218-dox.cnam.fr,102,host74.domain145.rsx218-dox.cnam.fr,19.703235ms,21.309000ms
client-1.rsx218-dox.cnam.fr,103,host142.domain138.rsx218-dox.cnam.fr,19.122448ms,21.287767ms
client-1.rsx218-dox.cnam.fr,104,host181.domain124.rsx218-dox.cnam.fr,20.772176ms,21.282808ms
client-1.rsx218-dox.cnam.fr,105,host177.domain87.rsx218-dox.cnam.fr,29.683564ms,21.362810ms
client-1.rsx218-dox.cnam.fr,106,host162.domain164.rsx218-dox.cnam.fr,17.438983ms,21.325783ms
