"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2023-06-30 21:46:00,0.806%,0.605%,0%,0.605%,0%,98.0%
2023-06-30 21:46:15,1.01%,9.49%,0%,1.82%,0.202%,87.5%
2023-06-30 21:46:30,5.80%,57.6%,0%,8.28%,2.48%,25.9%
2023-06-30 21:46:45,5.23%,58.2%,0%,7.95%,0.628%,28.0%
2023-06-30 21:47:00,5.23%,56.9%,0%,7.95%,0.209%,29.7%
2023-06-30 21:47:15,6.00%,58.2%,0%,8.28%,1.86%,25.7%
2023-06-30 21:47:30,5.82%,57.4%,0%,7.69%,1.25%,27.9%
2023-06-30 21:47:45,5.81%,57.7%,0%,7.88%,0.622%,28.0%
2023-06-30 21:48:00,5.82%,58.4%,0%,8.11%,1.25%,26.4%
2023-06-30 21:48:15,5.62%,56.7%,0%,8.12%,1.04%,28.5%
2023-06-30 21:48:30,5.02%,57.7%,0%,7.95%,0.418%,28.9%
2023-06-30 21:48:45,5.46%,58.6%,0%,8.61%,0.210%,27.1%
2023-06-30 21:49:00,5.23%,57.9%,0%,8.16%,0.628%,28.0%
2023-06-30 21:49:15,5.62%,58.3%,0%,8.33%,1.25%,26.5%
2023-06-30 21:49:30,4.42%,57.9%,0%,7.79%,0.211%,29.7%
2023-06-30 21:49:45,0.403%,0.605%,0%,0.605%,0%,98.4%

