"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2023-06-30 20:55:00,0.203%,0.406%,0%,0.609%,0%,98.8%
2023-06-30 20:55:15,2.01%,16.1%,0%,4.42%,1.61%,75.9%
2023-06-30 20:55:30,2.01%,16.3%,0%,4.63%,1.61%,75.5%
2023-06-30 20:55:45,1.81%,16.5%,0%,4.42%,1.00%,76.3%
2023-06-30 20:56:00,1.99%,16.1%,0%,4.58%,1.59%,75.7%
2023-06-30 20:56:15,1.41%,16.7%,0%,4.63%,1.01%,76.3%
2023-06-30 20:56:30,1.61%,16.3%,0%,4.43%,1.41%,76.3%
2023-06-30 20:56:45,2.00%,16.8%,0%,4.40%,1.00%,75.8%
2023-06-30 20:57:00,1.21%,16.5%,0%,4.43%,1.21%,76.7%
2023-06-30 20:57:15,1.60%,16.0%,0%,4.81%,1.60%,76.0%
2023-06-30 20:57:30,1.80%,16.8%,0%,4.41%,1.20%,75.8%
2023-06-30 20:57:45,2.00%,16.6%,0%,4.41%,1.00%,76.0%
2023-06-30 20:58:00,1.41%,16.9%,0%,4.23%,1.01%,76.4%
2023-06-30 20:58:15,1.81%,17.3%,0%,4.22%,1.00%,75.7%
2023-06-30 20:58:30,1.60%,16.6%,0%,4.41%,1.60%,75.8%
2023-06-30 20:58:45,2.19%,16.3%,0%,4.58%,1.79%,75.1%
2023-06-30 20:59:00,1.41%,16.9%,0%,4.22%,1.00%,76.5%
2023-06-30 20:59:15,1.81%,17.3%,0%,4.02%,0.803%,76.1%
2023-06-30 20:59:30,1.61%,16.9%,0%,4.22%,1.20%,76.1%
2023-06-30 20:59:45,1.60%,16.4%,0%,4.59%,2.00%,75.4%
2023-06-30 21:00:00,1.59%,16.5%,0%,4.78%,3.19%,73.9%
2023-06-30 21:00:15,1.62%,16.8%,0%,4.24%,0.808%,76.6%
2023-06-30 21:00:30,1.78%,15.8%,0%,5.35%,3.17%,73.9%
2023-06-30 21:00:45,1.41%,16.7%,0%,4.23%,1.01%,76.7%
2023-06-30 21:01:00,2.19%,16.3%,0%,4.58%,1.99%,74.9%
2023-06-30 21:01:15,1.60%,15.8%,0%,4.40%,1.60%,76.6%
2023-06-30 21:01:30,2.00%,16.8%,0%,4.41%,0.802%,76.0%
2023-06-30 21:01:45,1.61%,16.5%,0%,4.23%,0.805%,76.9%
2023-06-30 21:02:00,1.81%,16.7%,0%,4.42%,1.00%,76.1%
2023-06-30 21:02:15,2.01%,16.7%,0%,4.62%,1.20%,75.5%
2023-06-30 21:02:30,1.62%,17.2%,0%,4.04%,0.404%,76.8%
2023-06-30 21:02:45,1.60%,15.8%,0%,4.79%,2.20%,75.6%
2023-06-30 21:03:00,1.79%,16.9%,0%,4.78%,1.99%,74.5%
2023-06-30 21:03:15,1.60%,16.2%,0%,4.81%,1.80%,75.6%
2023-06-30 21:03:30,1.61%,16.5%,0%,4.44%,1.21%,76.2%
2023-06-30 21:03:45,1.61%,16.3%,0%,4.42%,0.803%,76.9%
2023-06-30 21:04:00,1.60%,16.0%,0%,4.61%,2.20%,75.6%
2023-06-30 21:04:15,1.81%,16.9%,0%,4.22%,1.00%,76.1%
2023-06-30 21:04:30,1.99%,16.1%,0%,4.78%,1.99%,75.1%
2023-06-30 21:04:45,0.402%,0.402%,0%,0.805%,0.201%,98.2%

