client,reqID,url,elapsedTime,averageReqTime
client-1.rsx218-dox.cnam.fr,1,host29.domain202.rsx218-dox.cnam.fr,90.601723ms,90.601000ms
client-1.rsx218-dox.cnam.fr,2,host120.domain100.rsx218-dox.cnam.fr,60.284107ms,75.442500ms
client-1.rsx218-dox.cnam.fr,3,host65.domain1.rsx218-dox.cnam.fr,56.84203ms,69.242333ms
client-1.rsx218-dox.cnam.fr,4,host135.domain204.rsx218-dox.cnam.fr,58.85549ms,66.645500ms
client-1.rsx218-dox.cnam.fr,5,host136.domain238.rsx218-dox.cnam.fr,56.653703ms,64.647000ms
client-1.rsx218-dox.cnam.fr,6,host67.domain57.rsx218-dox.cnam.fr,58.028007ms,63.543833ms
client-1.rsx218-dox.cnam.fr,7,host115.domain61.rsx218-dox.cnam.fr,57.063717ms,62.618000ms
client-1.rsx218-dox.cnam.fr,8,host220.domain95.rsx218-dox.cnam.fr,60.595825ms,62.365125ms
client-1.rsx218-dox.cnam.fr,9,host74.domain209.rsx218-dox.cnam.fr,56.001396ms,61.658000ms
client-1.rsx218-dox.cnam.fr,10,host24.domain140.rsx218-dox.cnam.fr,54.691008ms,60.961300ms
client-1.rsx218-dox.cnam.fr,11,host172.domain151.rsx218-dox.cnam.fr,56.076462ms,60.517182ms
client-1.rsx218-dox.cnam.fr,12,host246.domain104.rsx218-dox.cnam.fr,58.488641ms,60.348083ms
client-1.rsx218-dox.cnam.fr,13,host147.domain5.rsx218-dox.cnam.fr,57.07022ms,60.095923ms
client-1.rsx218-dox.cnam.fr,14,host138.domain111.rsx218-dox.cnam.fr,58.535886ms,59.984429ms
client-1.rsx218-dox.cnam.fr,15,host149.domain223.rsx218-dox.cnam.fr,56.704276ms,59.765733ms
client-1.rsx218-dox.cnam.fr,16,host19.domain110.rsx218-dox.cnam.fr,58.101697ms,59.661687ms
client-1.rsx218-dox.cnam.fr,17,host131.domain7.rsx218-dox.cnam.fr,53.651454ms,59.308118ms
client-1.rsx218-dox.cnam.fr,18,host9.domain118.rsx218-dox.cnam.fr,56.763695ms,59.166722ms
client-1.rsx218-dox.cnam.fr,19,host245.domain177.rsx218-dox.cnam.fr,60.977713ms,59.262000ms
client-1.rsx218-dox.cnam.fr,20,host96.domain17.rsx218-dox.cnam.fr,56.864855ms,59.142100ms
client-1.rsx218-dox.cnam.fr,21,host44.domain126.rsx218-dox.cnam.fr,57.73603ms,59.075143ms
client-1.rsx218-dox.cnam.fr,22,host237.domain157.rsx218-dox.cnam.fr,58.825064ms,59.063773ms
client-1.rsx218-dox.cnam.fr,23,host75.domain148.rsx218-dox.cnam.fr,57.67135ms,59.003217ms
client-1.rsx218-dox.cnam.fr,24,host100.domain131.rsx218-dox.cnam.fr,57.99501ms,58.961208ms
client-1.rsx218-dox.cnam.fr,25,host66.domain218.rsx218-dox.cnam.fr,57.89541ms,58.918560ms
client-1.rsx218-dox.cnam.fr,26,host153.domain51.rsx218-dox.cnam.fr,60.98806ms,58.998154ms
client-1.rsx218-dox.cnam.fr,27,host37.domain250.rsx218-dox.cnam.fr,53.618996ms,58.798889ms
client-1.rsx218-dox.cnam.fr,28,host73.domain106.rsx218-dox.cnam.fr,57.866002ms,58.765571ms
client-1.rsx218-dox.cnam.fr,29,host164.domain81.rsx218-dox.cnam.fr,56.942248ms,58.702690ms
client-1.rsx218-dox.cnam.fr,30,host200.domain245.rsx218-dox.cnam.fr,55.855332ms,58.607767ms
client-1.rsx218-dox.cnam.fr,31,host203.domain242.rsx218-dox.cnam.fr,57.891935ms,58.584645ms
client-1.rsx218-dox.cnam.fr,32,host153.domain7.rsx218-dox.cnam.fr,55.85478ms,58.499313ms
client-1.rsx218-dox.cnam.fr,33,host243.domain121.rsx218-dox.cnam.fr,56.733768ms,58.445788ms
client-1.rsx218-dox.cnam.fr,34,host13.domain46.rsx218-dox.cnam.fr,57.982836ms,58.432147ms
client-1.rsx218-dox.cnam.fr,35,host226.domain204.rsx218-dox.cnam.fr,59.740186ms,58.469514ms
client-1.rsx218-dox.cnam.fr,36,host79.domain40.rsx218-dox.cnam.fr,55.691113ms,58.392333ms
client-1.rsx218-dox.cnam.fr,37,host67.domain17.rsx218-dox.cnam.fr,57.177989ms,58.359486ms
client-1.rsx218-dox.cnam.fr,38,host83.domain46.rsx218-dox.cnam.fr,57.44196ms,58.335316ms
client-1.rsx218-dox.cnam.fr,39,host43.domain186.rsx218-dox.cnam.fr,54.112213ms,58.227026ms
client-1.rsx218-dox.cnam.fr,40,host246.domain215.rsx218-dox.cnam.fr,55.814748ms,58.166700ms
client-1.rsx218-dox.cnam.fr,41,host130.domain99.rsx218-dox.cnam.fr,58.734985ms,58.180537ms
client-1.rsx218-dox.cnam.fr,42,host244.domain80.rsx218-dox.cnam.fr,59.779869ms,58.218595ms
